epoch,lr,train_loss,train_bce_loss,train_dice_loss,val_loss,val_bce_loss,val_dice_loss,val_dice,val_iou,val_precision,val_recall,val_specificity
1,0.0001,0.722165278413079,0.7395438746972518,0.7047866821289063,0.7353482723236084,0.7971971948941549,0.673499329884847,0.4497073768137719,0.2900790277189839,0.29982756248843573,0.8992110136691274,0.6204920330036015
2,0.0001,0.5897222936153412,0.5323722988367081,0.6470722957090898,0.5731625616550445,0.4934599568446477,0.6528651734193166,0.7846181666813631,0.645573387039151,0.7803388005110973,0.7889447276256629,0.95986321790846
3,0.0001,0.5121369183063507,0.4232105780731548,0.6010632504116405,0.5169754246870677,0.43152320981025694,0.6024276435375213,0.8107613488229866,0.6817482328047122,0.7716858923575924,0.8540051633219934,0.9543355210386988
4,0.0001,0.45050249181010504,0.34007425552064724,0.5609307299960743,0.4806507190068563,0.3879197120666504,0.5733817179997762,0.7947068244788701,0.659347319489523,0.7371831860097153,0.861967599709231,0.9444614560070304
5,0.0001,0.4136751960624348,0.29779995083808897,0.5295504374937577,0.4376679847637812,0.3187625974416733,0.5565733790397644,0.8259464301609839,0.703499781763994,0.8356667307444569,0.8164496585410097,0.9709833268510032
6,0.0001,0.38433786739002573,0.2625389952551235,0.506136743588881,0.4135097136100133,0.29629234969615936,0.5307270685831705,0.8477458128113977,0.7357281251282095,0.8140699330373198,0.8843280829502328,0.9634971182877405
7,0.0001,0.35703803653066807,0.23329981104894118,0.48077626661820844,0.39750282367070516,0.27789373050133387,0.5171119173367819,0.8403489523857438,0.724656744039158,0.8283119249685349,0.852740982828228,0.9680560088702588
8,0.0001,0.34018838134678925,0.2176464317874475,0.46273033077066594,0.38093704283237456,0.25305551340182625,0.5088185826937358,0.8253641198791686,0.7026552941616832,0.8688369626141125,0.7860343610930703,0.9785542849451707
9,0.0001,0.32386269677769053,0.20254522589119997,0.4451801652258093,0.36268632610638935,0.24406359444061915,0.4813090622425079,0.8368399485761097,0.719453825422983,0.8564143220307284,0.8181403720181095,0.9752097532873414
10,0.0001,0.30395253056829624,0.18127319447018883,0.42663186842745,0.3500931849082311,0.2309764529267947,0.46920992732048034,0.8512193411953817,0.740976386285205,0.818406170801063,0.886773636194349,0.9644392601817566
11,0.0001,0.2849194480614229,0.1644217148423195,0.4054171795194799,0.3394618441661199,0.2307086577018102,0.4482150395711263,0.8366048104191167,0.7191063001734671,0.7897269595289433,0.8893991600397226,0.9572014388490938
