Model,Preprocessing_ms,Backbone_Neck_ms,Mask_Head_ms,NMS_Postprocessing_ms,Total_Latency_ms,FPS,Hardware
Baseline,39.35,149.15,70.19,2.32,261.0,3.8,CPU
TSVM,4.48,551.86,193.9,2.3,752.54,1.3,CPU
