epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,65.7385,1.12902,1.98908,2.61403,0.01672,2.56633,0.71396,0.0315,0.10523,0.03069,0.53547,0.02362,0.06911,0.01709,1.87893,6.65044,4.16839,0.04587,0,0.000196364,0.000196364,0.08056
2,134.408,1.06834,1.52888,1.42026,0.01533,1.77165,0.74958,0.64567,0.68412,0.44258,0.74958,0.64567,0.67685,0.47006,1.33873,2.6143,1.39563,0.03024,0,0.00039244,0.00039244,0.0607561
3,202.721,1.17414,1.55053,1.3027,0.01693,1.57543,0.72977,0.61417,0.68053,0.44969,0.71293,0.59843,0.6502,0.39739,1.14941,3.05222,1.47473,0.02674,0,0.000584556,0.000584556,0.0409482
4,271.367,1.16548,1.54245,1.25396,0.01731,1.65304,0.68681,0.52756,0.5692,0.34279,0.72562,0.56224,0.59592,0.37018,1.50067,2.93432,1.68699,0.0355,0,0.000772712,0.000772712,0.0211363
5,339.726,1.18519,1.50585,1.24886,0.01754,1.57309,0.62089,0.76378,0.71607,0.45553,0.64095,0.78715,0.74528,0.46882,1.31831,2.06863,1.27962,0.0314,0,0.000956908,0.000956908,0.00132054
6,408.58,1.12613,1.48662,1.15647,0.0172,1.50241,0.79198,0.69291,0.76139,0.51103,0.79714,0.71165,0.78342,0.53497,1.20051,1.64947,1.23381,0.02886,0,0.0009505,0.0009505,0.0009505
7,477.137,1.0882,1.44962,1.1061,0.0164,1.44702,0.73982,0.70079,0.77263,0.51357,0.70415,0.69291,0.76359,0.52662,1.15028,1.76058,1.22717,0.02642,0,0.0009406,0.0009406,0.0009406
8,545.272,1.1236,1.44486,1.09579,0.01604,1.51764,0.68277,0.75591,0.74244,0.47614,0.68277,0.75591,0.74932,0.5045,1.35039,2.10965,1.13525,0.03259,0,0.0009307,0.0009307,0.0009307
9,613.676,1.11987,1.42904,1.10576,0.01704,1.39078,0.57644,0.58938,0.61159,0.35787,0.59421,0.61112,0.6176,0.40524,1.35484,1.75103,1.7458,0.0338,0,0.0009208,0.0009208,0.0009208
10,682.156,1.05694,1.3737,1.0297,0.0159,1.27101,0.80229,0.76686,0.82666,0.55015,0.80223,0.7874,0.83357,0.5565,1.21672,1.97105,1.07165,0.02748,0,0.0009109,0.0009109,0.0009109
11,750.723,1.06433,1.34432,1.02485,0.01569,1.2429,0.71104,0.73228,0.77561,0.53996,0.71104,0.73228,0.77566,0.53908,1.12188,1.72466,1.10533,0.02536,0,0.000901,0.000901,0.000901
12,819.26,1.07428,1.34119,0.98997,0.01569,1.24595,0.78599,0.81102,0.81968,0.56821,0.78882,0.82355,0.83937,0.60319,1.23816,1.7604,0.83849,0.0285,0,0.0008911,0.0008911,0.0008911
13,887.839,1.02415,1.30419,0.95254,0.0149,1.29193,0.79558,0.79528,0.8244,0.57515,0.8142,0.81102,0.84797,0.58725,1.14612,1.6302,0.97456,0.02613,0,0.0008812,0.0008812,0.0008812
14,956.16,1.01251,1.30641,0.9738,0.01479,1.23745,0.80375,0.74803,0.81889,0.57409,0.80375,0.74803,0.82014,0.56166,1.05065,1.80721,0.99815,0.02341,0,0.0008713,0.0008713,0.0008713
