epoch,lr,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_specificity,train_output_1_loss,val_output_1_loss,train_output_2_loss,val_output_2_loss,train_output_3_loss,val_output_3_loss,train_output_4_loss,val_output_4_loss
1,0.0001,5.091392027248036,4.473200623194376,0.7486747049396787,0.5983054189786804,0.6763493403477101,0.8383204361837159,0.9274758243482697,1.2876239202239297,1.1632518331209818,1.241995299946178,1.12812283039093,1.280244140733372,1.1795365850130717,1.281528625163165,1.0022893607616425
2,0.0001,3.4682530403137206,3.3402549584706622,0.8340225027337295,0.7152989699107998,0.8670333598169093,0.8034331193179707,0.9777246806069375,0.9308453933759169,0.9303513685862224,0.8553933344104073,0.8309145907560984,0.8390442631461403,0.8018449246883392,0.8429700688882308,0.7771439989407857
3,0.0001,2.8796286821365356,2.9821877002716066,0.8559667024633243,0.7482008647006961,0.863702754942418,0.848368001012099,0.9757967116920512,0.8513234084302729,0.9000669956207276,0.7080240108750083,0.724002597729365,0.6653705569830808,0.6796426792939504,0.6549107080156152,0.678475425640742
4,0.0001,2.4996588295156306,2.6391313632329303,0.8656450764420999,0.7631166035115468,0.8962624101866585,0.8370504886508668,0.9824846045205817,0.7911933573809538,0.8277282536029815,0.6152383853088725,0.651321824391683,0.5607713588259436,0.5887896557648976,0.5324557396498594,0.5712916453679403
5,0.0001,2.199732134558938,2.723369606335958,0.8752946542494136,0.7782435262324454,0.8705634212251903,0.8800775937503347,0.9763438047371001,0.7355415387587114,0.8604033986727396,0.5392139984802766,0.6653449495633443,0.4789415738799355,0.609162038564682,0.44603502425280483,0.5884592086076736
6,0.0001,2.0278726361014625,2.4920701583226523,0.8637430174582678,0.7601652009443645,0.9132113659930893,0.8193586391574409,0.9859222611675598,0.7085210838101127,0.7921932975451151,0.4914702708070928,0.6148458242416381,0.43170634697784077,0.5545124471187591,0.3961749485947869,0.5305185904105504
7,0.0001,1.876952834562822,2.6639432668685914,0.8622821554470986,0.7579050988568806,0.9032241772893523,0.8248908837886068,0.9840215317525213,0.6439498646692796,0.8542201936244964,0.46479968428611756,0.6524131735165913,0.40177481960166583,0.5924979229768117,0.36642846167087556,0.5648119727770488
8,0.0001,1.7441747730428523,2.552486006418864,0.8707031645775869,0.7710135522091546,0.8849282494164107,0.8569281765820156,0.9798547618457677,0.6087349897081201,0.7744818150997161,0.431120472333648,0.6374743938446045,0.3702647943388332,0.581465502580007,0.3340545253320174,0.5590642988681793
9,0.0001,1.7014071497050198,2.382353965441386,0.8784129680638018,0.7831875218344848,0.8793861512459775,0.8774419364701223,0.9782427870122067,0.5834994597868486,0.7163731197516123,0.4261486565524882,0.6057297627131144,0.3639083664525639,0.5436033566792806,0.32785069156776775,0.5166477183500926
10,0.0001,1.6300613836808637,2.4077468951543173,0.8798969445829684,0.7855499905366955,0.8773715231600125,0.8824369462923382,0.9777023648650797,0.551335807280107,0.7064364373683929,0.4125205468047749,0.607147095600764,0.3501481514085423,0.557588721315066,0.3160568823868578,0.5365746339162191
11,0.0001,1.550163448940624,2.497572994232178,0.8782014821258444,0.7828513481993798,0.8620840676789939,0.8949330367340386,0.9741165189856934,0.5230424279516394,0.7515925804773966,0.3964553318240426,0.6286511868238449,0.3330032876946709,0.5704582273960114,0.2976623984900388,0.546871030330658
12,0.0001,1.4352809288284996,2.2937760670979817,0.8756246816483432,0.7787654774670976,0.8876906188273493,0.863882358315856,0.9802404826934673,0.4739799174395474,0.6715609391530355,0.3736164786598899,0.5815097610155742,0.31175129941918633,0.5307436267534892,0.27593323195522484,0.5099617391824722
13,0.0001,1.384977755763314,2.20765753587087,0.8856178736143837,0.7947165093959272,0.9064757003697261,0.8656983261819223,0.983852615087284,0.45823855562643573,0.6354079604148865,0.3605864541097121,0.569558443625768,0.3000875093720176,0.5134425620237987,0.2660652434284037,0.48924853603045143
14,0.0001,1.3283124089241027,2.165116278330485,0.8894998141135019,0.8009902433320437,0.9006292955635967,0.8786420390850456,0.9824736451882815,0.42655861323530025,0.5912595232327779,0.35081619891253385,0.56451595723629,0.29201376140117646,0.5145400524139404,0.25892383212392983,0.4948007196187973
15,0.0001,1.2669987136667424,2.276701577504476,0.8909936667413582,0.8034162114505844,0.8792300448119855,0.9030763391774682,0.977574188326437,0.3963058287447149,0.6387402653694153,0.34145722660151395,0.584837261835734,0.28133719102902843,0.5378827691078186,0.24789847162636844,0.5152412613232931
