epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,673.438,1.66282,2.02073,1.74824,0.02693,2.1491,0.59099,0.62992,0.61523,0.37494,0.62314,0.6063,0.64061,0.40133,1.4633,2.34159,1.48613,0.03513,0,0.0014654,0.0014654,0.0014654
29,697.138,1.6294,2.01104,1.70761,0.0249,2.08216,0.60439,0.6496,0.6385,0.36659,0.61904,0.66534,0.6633,0.40818,1.51623,2.024,1.38089,0.03606,0,0.0014456,0.0014456,0.0014456
30,720.621,1.61444,1.94151,1.59334,0.02438,2.08079,0.6839,0.57923,0.66738,0.34321,0.693,0.58657,0.67482,0.37785,1.61255,2.46683,1.41685,0.03834,0,0.0014258,0.0014258,0.0014258
31,744.332,1.61154,1.92228,1.6873,0.02542,2.05029,0.63156,0.66135,0.63469,0.38014,0.6392,0.64567,0.63171,0.41131,1.54063,2.12748,1.41583,0.03725,0,0.001406,0.001406,0.001406
32,768.481,1.61768,1.97193,1.60154,0.02577,2.09302,0.65529,0.64366,0.65295,0.39009,0.66486,0.64047,0.67388,0.40338,1.45608,2.18484,1.27139,0.03431,0,0.0013862,0.0013862,0.0013862
33,792.244,1.59829,1.91406,1.51657,0.02545,1.82665,0.67536,0.56693,0.66631,0.3687,0.68474,0.5748,0.66968,0.39661,1.60231,2.20084,1.37536,0.03814,0,0.0013664,0.0013664,0.0013664
34,815.701,1.55388,1.80948,1.53917,0.02592,1.90214,0.67637,0.57599,0.63978,0.36708,0.69255,0.55906,0.65123,0.38788,1.52777,2.31298,1.41986,0.03637,0,0.0013466,0.0013466,0.0013466
35,839.547,1.62241,1.8771,1.62557,0.02564,1.98455,0.63627,0.59055,0.63763,0.35166,0.62047,0.59217,0.64763,0.39242,1.51973,2.25887,1.53676,0.03724,0,0.0013268,0.0013268,0.0013268
36,863.013,1.57194,1.8286,1.57269,0.02575,1.93221,0.53842,0.66929,0.61258,0.35815,0.59339,0.65354,0.63345,0.38601,1.50341,1.98008,1.37463,0.03617,0,0.001307,0.001307,0.001307
37,886.449,1.50191,1.73675,1.44009,0.02405,1.83948,0.70083,0.59843,0.69185,0.39347,0.67881,0.61417,0.70968,0.43496,1.52456,1.95439,1.34383,0.0365,0,0.0012872,0.0012872,0.0012872
38,910.181,1.5407,1.76763,1.47224,0.02463,1.80686,0.60261,0.5612,0.60198,0.33428,0.61158,0.5748,0.62151,0.39878,1.5262,2.0045,1.49034,0.03731,0,0.0012674,0.0012674,0.0012674
39,933.861,1.57497,1.83952,1.53226,0.02527,1.96927,0.62655,0.67717,0.64032,0.37858,0.6385,0.70079,0.66901,0.41544,1.4699,2.04537,1.2697,0.03535,0,0.0012476,0.0012476,0.0012476
40,957.468,1.49928,1.76946,1.50806,0.02456,1.96875,0.5932,0.62992,0.65006,0.39922,0.65368,0.63909,0.6908,0.43277,1.38732,2.14582,1.30148,0.03329,0,0.0012278,0.0012278,0.0012278
41,981.285,1.59615,1.83188,1.49122,0.0255,1.92436,0.64264,0.67967,0.68008,0.38928,0.65753,0.69542,0.69557,0.4261,1.52455,2.01283,1.3326,0.0366,0,0.001208,0.001208,0.001208
42,1005.03,1.52901,1.85999,1.51128,0.02323,1.81289,0.55227,0.64104,0.66171,0.39006,0.53564,0.67717,0.65251,0.41446,1.50958,2.06934,1.34763,0.03632,0,0.0011882,0.0011882,0.0011882
43,1028.83,1.46156,1.80347,1.44183,0.0241,1.6923,0.6919,0.62992,0.68528,0.42388,0.70594,0.64272,0.71668,0.44079,1.40875,1.95054,1.27993,0.03378,0,0.0011684,0.0011684,0.0011684
44,1052.59,1.45085,1.72098,1.42923,0.0225,1.73076,0.6241,0.66929,0.71709,0.44759,0.65982,0.70079,0.74063,0.46805,1.39022,1.94557,1.15785,0.03355,0,0.0011486,0.0011486,0.0011486
45,1075.95,1.49032,1.75375,1.49096,0.0226,1.62714,0.70928,0.63398,0.69189,0.43302,0.73609,0.65889,0.72993,0.44739,1.46764,1.9878,1.15824,0.03528,0,0.0011288,0.0011288,0.0011288
46,1098.84,1.47974,1.78554,1.43297,0.02364,1.69767,0.65809,0.66142,0.71923,0.44891,0.66828,0.68212,0.7254,0.47312,1.34757,1.81847,1.17845,0.03254,0,0.001109,0.001109,0.001109
47,1122.12,1.46926,1.79241,1.39936,0.0225,1.73648,0.75351,0.61417,0.71515,0.44189,0.76349,0.62205,0.7233,0.47404,1.40088,1.88799,1.22509,0.03381,0,0.0010892,0.0010892,0.0010892
48,1145.23,1.40897,1.64846,1.37413,0.02165,1.77606,0.72899,0.61417,0.73105,0.46403,0.76863,0.62205,0.74392,0.49227,1.43371,1.96271,1.12903,0.03449,0,0.0010694,0.0010694,0.0010694
