epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,42.5279,0.85839,2.253,5.61769,0.01196,3.22137,0.00336,0.95276,0.33095,0.20335,0.00342,0.9685,0.33695,0.22684,0.86803,1.99752,9.75185,0.01918,0,0.000654545,0.000654545,0.000654545
2,61.3247,1.0102,1.60222,4.17304,0.01428,1.78225,0.69337,0.40945,0.57166,0.39994,0.69337,0.40945,0.57489,0.42239,1.009,1.90501,6.9263,0.02207,0,0.00130813,0.00130813,0.00130813
3,80.0049,1.03914,1.5546,2.97754,0.01586,1.7432,0.69712,0.66142,0.70195,0.4517,0.68882,0.65354,0.69583,0.47538,1.22831,2.5417,4.24719,0.02764,0,0.00194852,0.00194852,0.00194852
4,98.8437,1.13442,1.56919,2.40197,0.01696,1.79517,0.61625,0.69291,0.67384,0.4098,0.62325,0.70079,0.67678,0.44966,1.27114,2.89066,2.79502,0.02977,0,0.0019406,0.0019406,0.0019406
5,117.37,1.1847,1.62102,1.98647,0.017,1.6914,0.70726,0.62205,0.70258,0.37749,0.71974,0.6378,0.72869,0.44248,1.45883,2.05842,2.2218,0.03467,0,0.0019208,0.0019208,0.0019208
6,136.165,1.16128,1.5087,1.63921,0.01786,1.45334,0.77764,0.71598,0.77208,0.48614,0.82535,0.70866,0.78683,0.55486,1.38262,2.01384,1.65021,0.03278,0,0.001901,0.001901,0.001901
7,154.97,1.10832,1.44063,1.4095,0.01652,1.44731,0.72175,0.66929,0.71407,0.46142,0.75572,0.70079,0.75515,0.52897,1.26351,1.77586,1.62982,0.029,0,0.0018812,0.0018812,0.0018812
8,173.637,1.08707,1.48711,1.44513,0.01595,1.44822,0.58669,0.6371,0.66077,0.40644,0.59183,0.63936,0.66366,0.39095,1.32803,2.11602,1.74774,0.03131,0,0.0018614,0.0018614,0.0018614
9,192.502,1.16161,1.51475,1.40776,0.01763,1.54724,0.77325,0.72498,0.75302,0.50687,0.79017,0.74016,0.77511,0.52862,1.17377,1.80683,1.22307,0.02707,0,0.0018416,0.0018416,0.0018416
10,211.442,1.18621,1.54332,1.3001,0.01852,1.5771,0.7898,0.71005,0.79618,0.49489,0.80712,0.72491,0.8213,0.55202,1.29213,1.66295,1.21734,0.03077,0,0.0018218,0.0018218,0.0018218
11,230.253,1.12422,1.47533,1.27855,0.01716,1.50505,0.73111,0.70651,0.77439,0.53603,0.72982,0.7019,0.76356,0.54696,1.13815,1.64375,1.24466,0.02728,0,0.001802,0.001802,0.001802
12,249.09,1.05721,1.38634,1.13915,0.01579,1.2775,0.79342,0.6956,0.78266,0.48371,0.78727,0.70079,0.76971,0.53343,1.32384,1.77885,1.25651,0.03145,0,0.0017822,0.0017822,0.0017822
13,267.806,1.08976,1.33573,1.13836,0.01618,1.28513,0.81422,0.75591,0.8042,0.53899,0.83143,0.72441,0.79762,0.54383,1.15174,2.06917,1.05252,0.0268,0,0.0017624,0.0017624,0.0017624
14,286.442,1.0507,1.46675,1.13178,0.01528,1.33591,0.81916,0.68504,0.79526,0.5683,0.85624,0.66142,0.80566,0.58795,1.13006,1.93584,1.0825,0.02639,0,0.0017426,0.0017426,0.0017426
15,305.093,1.06186,1.40288,1.0921,0.01538,1.25618,0.69967,0.77165,0.77279,0.54697,0.68907,0.75038,0.78039,0.55938,1.07327,1.62656,1.19764,0.02508,0,0.0017228,0.0017228,0.0017228
16,323.766,1.12166,1.38857,1.05505,0.01728,1.42965,0.65851,0.71654,0.75351,0.50296,0.66365,0.72441,0.75022,0.54257,1.15958,1.50422,1.13844,0.0273,0,0.001703,0.001703,0.001703
17,342.328,1.01717,1.28665,0.98286,0.01487,1.18674,0.74748,0.76378,0.79739,0.53216,0.75839,0.76619,0.80463,0.5748,1.14495,1.46821,1.16006,0.02648,0,0.0016832,0.0016832,0.0016832
18,360.976,1.02796,1.28518,0.96829,0.01432,1.12045,0.81367,0.72208,0.82177,0.55877,0.84383,0.7233,0.82986,0.5972,1.16762,1.52705,1.02933,0.02888,0,0.0016634,0.0016634,0.0016634
19,379.479,1.00998,1.27545,1.00305,0.01424,1.2652,0.7304,0.76378,0.79392,0.558,0.7304,0.76378,0.79992,0.58447,1.11165,1.59279,1.09574,0.02571,0,0.0016436,0.0016436,0.0016436
20,398.345,0.9857,1.30703,1.03933,0.01371,1.18476,0.83802,0.77404,0.83014,0.6,0.84655,0.78191,0.84496,0.62693,1.07073,1.59677,0.91018,0.02593,0,0.0016238,0.0016238,0.0016238
21,416.826,1.00974,1.3545,0.98748,0.01472,1.21481,0.76513,0.76955,0.80705,0.57964,0.77287,0.77704,0.82063,0.59487,1.15426,1.65365,0.99224,0.02722,0,0.001604,0.001604,0.001604
22,435.289,0.97813,1.28425,0.97135,0.0143,1.17616,0.83266,0.78361,0.83508,0.60098,0.84939,0.79936,0.84538,0.62234,1.08323,1.59034,0.94691,0.02571,0,0.0015842,0.0015842,0.0015842
23,453.85,0.99701,1.23722,0.98548,0.0146,1.20977,0.80768,0.7874,0.83405,0.5951,0.80768,0.7874,0.84322,0.6077,1.01408,1.58852,0.93528,0.02326,0,0.0015644,0.0015644,0.0015644
24,472.396,0.93885,1.24138,0.88262,0.01414,1.02652,0.74296,0.8189,0.83828,0.61431,0.74296,0.8189,0.83993,0.63435,1.02577,1.59089,0.86234,0.0242,0,0.0015446,0.0015446,0.0015446
