epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,114.37,1.19079,1.7719,1.90886,0.0175,2.28558,0.72708,0.33858,0.46127,0.22762,0.28822,0.08661,0.08765,0.03297,1.87449,16.5386,2.35179,0.04446,0,0.000198182,0.000198182,0.08038
2,228.63,1.14276,1.66272,1.41312,0.01679,1.81181,0.7547,0.48819,0.58028,0.39841,0.7547,0.48819,0.53694,0.31819,1.24282,5.44953,1.42494,0.03059,0,0.00039424,0.00039424,0.0605761
3,342.837,1.11067,1.60015,1.24364,0.01619,1.59545,0.74715,0.69803,0.75624,0.489,0.84146,0.58513,0.72961,0.47689,1.27169,2.88122,1.15597,0.03133,0,0.000586338,0.000586338,0.0407682
4,456.992,1.16675,1.54904,1.22023,0.01735,1.73912,0.77109,0.77165,0.7839,0.49269,0.77615,0.76378,0.79567,0.51981,1.3473,1.94226,1.12235,0.03262,0,0.000774476,0.000774476,0.0209563
5,571.429,1.18582,1.57911,1.24962,0.01806,1.64913,0.75372,0.70866,0.79541,0.55186,0.77047,0.72441,0.81521,0.55869,1.14665,1.69115,1.00208,0.02774,0,0.000958654,0.000958654,0.00114047
6,685.741,1.19646,1.51414,1.19123,0.01828,1.6437,0.82767,0.70079,0.80888,0.47238,0.80907,0.68504,0.80979,0.51886,1.37772,1.85325,0.98377,0.03386,0,0.0009505,0.0009505,0.0009505
7,800.015,1.18313,1.46718,1.15435,0.01814,1.5401,0.63207,0.51969,0.60014,0.38912,0.62135,0.51181,0.59059,0.39926,1.18536,2.03113,1.426,0.02947,0,0.0009406,0.0009406,0.0009406
8,914.237,1.09908,1.38151,1.10438,0.01649,1.46314,0.74289,0.77356,0.79152,0.53666,0.73533,0.76569,0.79012,0.57302,1.2155,1.83217,0.99499,0.02887,0,0.0009307,0.0009307,0.0009307
9,1028.42,1.08084,1.43736,1.11296,0.01634,1.4651,0.74897,0.7283,0.7982,0.53551,0.75707,0.73618,0.81619,0.58414,1.23032,1.59755,1.06296,0.03034,0,0.0009208,0.0009208,0.0009208
10,1142.72,1.1016,1.36265,0.96854,0.0166,1.30355,0.86524,0.75835,0.85381,0.56508,0.86524,0.75835,0.85895,0.59101,1.15618,1.57481,0.85162,0.02717,0,0.0009109,0.0009109,0.0009109
11,1256.95,1.12254,1.37244,1.01963,0.01654,1.37557,0.74005,0.67717,0.74793,0.50735,0.77103,0.66289,0.74963,0.53074,1.25787,1.96206,1.00084,0.03013,0,0.000901,0.000901,0.000901
12,1371.26,1.0594,1.37187,0.96904,0.01614,1.30323,0.74268,0.76378,0.79897,0.5531,0.74567,0.75591,0.79678,0.56795,1.16199,1.62595,0.93269,0.02783,0,0.0008911,0.0008911,0.0008911
13,1485.38,1.01511,1.3945,0.98749,0.01449,1.25879,0.79927,0.65843,0.75772,0.5543,0.81826,0.67361,0.77648,0.56465,1.05378,1.57622,1.03731,0.02529,0,0.0008812,0.0008812,0.0008812
14,1599.51,1.06053,1.35579,0.95337,0.01586,1.39207,0.74382,0.72441,0.77471,0.50558,0.76096,0.74016,0.79777,0.52898,1.18334,1.71203,0.96903,0.02752,0,0.0008713,0.0008713,0.0008713
15,1713.7,1.03318,1.32357,0.93528,0.01531,1.16875,0.86436,0.7025,0.82567,0.58674,0.77036,0.81886,0.8488,0.62605,1.14998,1.49257,0.85531,0.0268,0,0.0008614,0.0008614,0.0008614
16,1827.9,1.00389,1.26296,0.90237,0.01488,1.23972,0.86633,0.79528,0.87747,0.62357,0.86633,0.79528,0.87754,0.64344,1.01629,1.42541,0.76259,0.02379,0,0.0008515,0.0008515,0.0008515
17,1942.06,0.98641,1.29762,0.87351,0.01466,1.18791,0.86714,0.84252,0.90634,0.62425,0.89006,0.82677,0.90135,0.64411,1.11955,1.57365,0.69565,0.0255,0,0.0008416,0.0008416,0.0008416
18,2056.27,0.98069,1.2212,0.8536,0.01446,1.09147,0.78357,0.82677,0.87216,0.6342,0.79835,0.84168,0.88319,0.6664,1.04329,1.50391,0.74167,0.02391,0,0.0008317,0.0008317,0.0008317
19,2170.46,1.00105,1.24771,0.84659,0.01482,1.16017,0.85814,0.70079,0.81593,0.5976,0.87812,0.71654,0.83499,0.61241,1.08093,1.53395,0.80434,0.02524,0,0.0008218,0.0008218,0.0008218
20,2284.5,0.97488,1.20768,0.84417,0.01462,1.14355,0.81966,0.77953,0.84413,0.61647,0.84999,0.80315,0.85638,0.62919,1.08804,1.60119,0.8021,0.02492,0,0.0008119,0.0008119,0.0008119
21,2398.5,0.98469,1.25502,0.87242,0.0146,1.20826,0.81082,0.84368,0.88128,0.6405,0.8682,0.7874,0.88199,0.66206,1.03159,1.41135,0.75182,0.02317,0,0.000802,0.000802,0.000802
22,2512.72,0.96056,1.22127,0.84144,0.01374,1.07821,0.8462,0.82313,0.86726,0.63525,0.8462,0.82313,0.86756,0.65381,1.0583,1.62693,0.66898,0.02492,0,0.0007921,0.0007921,0.0007921
23,2626.66,0.97462,1.20148,0.83253,0.01406,1.08926,0.80414,0.84056,0.86437,0.62088,0.83556,0.83465,0.87492,0.62929,1.02244,1.58593,0.72001,0.0239,0,0.0007822,0.0007822,0.0007822
24,2740.81,0.95402,1.26933,0.86021,0.01317,1.11651,0.89493,0.82677,0.88456,0.66267,0.90431,0.83465,0.89321,0.66694,0.98375,1.35861,0.63041,0.02196,0,0.0007723,0.0007723,0.0007723
25,2854.98,0.90746,1.20446,0.8157,0.01309,1.10767,0.87782,0.79201,0.88283,0.63822,0.84846,0.83762,0.88688,0.6486,0.98304,1.39411,0.71589,0.0226,0,0.0007624,0.0007624,0.0007624
26,2969.07,0.90409,1.19298,0.7725,0.01284,1.0152,0.87229,0.79528,0.8816,0.64622,0.87729,0.78815,0.88229,0.66154,1.00666,1.36874,0.76896,0.02392,0,0.0007525,0.0007525,0.0007525
27,3083.27,0.92204,1.20887,0.76173,0.013,1.04124,0.87147,0.8189,0.86076,0.62466,0.87147,0.8189,0.86788,0.63707,1.03061,1.44765,0.78557,0.02349,0,0.0007426,0.0007426,0.0007426
28,3197.54,0.90812,1.19012,0.75051,0.01288,1.06772,0.90297,0.80607,0.88076,0.65044,0.90297,0.80607,0.89192,0.65542,0.98282,1.45543,0.75959,0.02289,0,0.0007327,0.0007327,0.0007327
29,3311.76,0.93124,1.20357,0.80225,0.01333,1.11478,0.82736,0.88189,0.8717,0.64122,0.83496,0.88976,0.88281,0.66067,1.01276,1.39895,0.7092,0.02319,0,0.0007228,0.0007228,0.0007228
30,3426,0.90371,1.17035,0.76003,0.01289,1.0189,0.83422,0.87171,0.89192,0.66462,0.84166,0.87893,0.90175,0.67208,0.97394,1.49324,0.62968,0.02213,0,0.0007129,0.0007129,0.0007129
31,3540.29,0.88107,1.17157,0.71078,0.01275,0.98541,0.79587,0.84252,0.85192,0.63345,0.88338,0.7754,0.87255,0.6389,1.01288,1.49735,0.75589,0.02409,0,0.000703,0.000703,0.000703
32,3654.54,0.88409,1.17941,0.68897,0.01234,0.90182,0.86307,0.8189,0.87417,0.63517,0.87137,0.82677,0.87794,0.64783,0.99352,1.46757,0.71908,0.02206,0,0.0006931,0.0006931,0.0006931
33,3768.63,0.87332,1.10645,0.7058,0.0126,0.93507,0.82135,0.77953,0.86717,0.64896,0.84869,0.80315,0.88385,0.65515,0.97434,1.37298,0.739,0.02335,0,0.0006832,0.0006832,0.0006832
34,3882.78,0.84823,1.12753,0.67412,0.01221,0.97225,0.86874,0.83381,0.88345,0.63979,0.87694,0.84168,0.88844,0.6508,0.97093,1.41886,0.8036,0.02276,0,0.0006733,0.0006733,0.0006733
35,3996.89,0.86395,1.15728,0.72685,0.01213,0.93617,0.85924,0.86517,0.9071,0.67249,0.87384,0.84252,0.9001,0.68612,0.92718,1.40324,0.72439,0.02112,0,0.0006634,0.0006634,0.0006634
36,4110.98,0.84981,1.13614,0.69705,0.01233,0.90737,0.84077,0.76378,0.8446,0.6502,0.84944,0.77165,0.8504,0.63964,0.92353,1.49393,0.83718,0.02069,0,0.0006535,0.0006535,0.0006535
37,4224.97,0.877,1.15764,0.71806,0.0128,0.99333,0.94152,0.81102,0.89392,0.66863,0.95067,0.8189,0.90258,0.68165,0.95243,1.51333,0.64244,0.02144,0,0.0006436,0.0006436,0.0006436
38,4338.93,0.85873,1.13483,0.72068,0.01255,0.96586,0.85176,0.82677,0.87464,0.66775,0.85176,0.82677,0.88957,0.66525,0.89679,1.39073,0.65988,0.02048,0,0.0006337,0.0006337,0.0006337
39,4452.99,0.85326,1.17944,0.74199,0.01188,0.90537,0.84843,0.85827,0.8915,0.66159,0.86906,0.83615,0.89494,0.66965,0.97749,1.50009,0.63767,0.0231,0,0.0006238,0.0006238,0.0006238
40,4567.14,0.84366,1.09954,0.66595,0.01199,0.84671,0.91651,0.77797,0.89232,0.69279,0.92579,0.78585,0.90461,0.68478,0.91627,1.37761,0.68153,0.02095,0,0.0006139,0.0006139,0.0006139
41,4681.49,0.88947,1.11442,0.69427,0.01302,0.90299,0.85701,0.84946,0.88386,0.65043,0.85883,0.85039,0.87693,0.66109,0.90356,1.3661,0.66999,0.02094,0,0.000604,0.000604,0.000604
42,4795.5,0.81287,1.07296,0.66438,0.01213,0.84877,0.93601,0.80625,0.89285,0.65635,0.94514,0.814,0.89722,0.67704,0.9741,1.45692,0.60637,0.02274,0,0.0005941,0.0005941,0.0005941
43,4909.53,0.85012,1.07943,0.65355,0.01189,0.88519,0.83139,0.84252,0.88566,0.69533,0.83916,0.85039,0.89509,0.68583,0.86295,1.3153,0.61207,0.02003,0,0.0005842,0.0005842,0.0005842
44,5023.93,0.82078,1.08443,0.66853,0.01131,0.85755,0.83742,0.89229,0.90534,0.68747,0.84481,0.90017,0.91799,0.69181,0.94528,1.40758,0.61462,0.02137,0,0.0005743,0.0005743,0.0005743
45,5137.91,0.81851,1.05646,0.64068,0.01148,0.77748,0.8517,0.85924,0.88153,0.69052,0.87509,0.88262,0.89105,0.67616,0.85735,1.39399,0.69372,0.02013,0,0.0005644,0.0005644,0.0005644
46,5252.02,0.80444,1.09535,0.61872,0.0116,0.81478,0.8467,0.84252,0.87942,0.68016,0.85477,0.85039,0.87655,0.6896,0.87869,1.43837,0.69531,0.02072,0,0.0005545,0.0005545,0.0005545
47,5366.19,0.77693,1.05375,0.59321,0.01126,0.79426,0.88141,0.84252,0.89916,0.69919,0.88141,0.84252,0.91325,0.71069,0.89861,1.35612,0.57128,0.02076,0,0.0005446,0.0005446,0.0005446
48,5480.46,0.78577,1.0091,0.59602,0.01136,0.74628,0.92363,0.81102,0.88593,0.68152,0.94813,0.83465,0.90596,0.68787,0.9363,1.39199,0.66875,0.02145,0,0.0005347,0.0005347,0.0005347
49,5594.64,0.79552,1.0561,0.65054,0.01097,0.87899,0.84835,0.83696,0.87282,0.66537,0.84734,0.83043,0.86857,0.68146,0.92132,1.28941,0.72614,0.02078,0,0.0005248,0.0005248,0.0005248
50,5708.82,0.76534,0.99584,0.56393,0.01059,0.75738,0.85471,0.85827,0.89517,0.68021,0.84578,0.85039,0.88617,0.67858,0.87923,1.33564,0.68188,0.01965,0,0.0005149,0.0005149,0.0005149
51,5822.93,0.76239,1.04276,0.59004,0.01066,0.7948,0.86763,0.82579,0.89987,0.71191,0.8759,0.83366,0.89311,0.6975,0.87092,1.38621,0.61411,0.01961,0,0.000505,0.000505,0.000505
52,5936.92,0.75139,1.00142,0.56247,0.0103,0.70429,0.87303,0.84252,0.88942,0.68787,0.88134,0.85039,0.89443,0.68827,0.90038,1.48719,0.64706,0.02059,0,0.0004951,0.0004951,0.0004951
53,6050.9,0.77524,1.03052,0.5742,0.0105,0.74066,0.90863,0.86135,0.9079,0.70271,0.90863,0.86135,0.91647,0.70944,0.87484,1.34404,0.60195,0.01996,0,0.0004852,0.0004852,0.0004852
54,6165.08,0.74749,0.96842,0.52968,0.01031,0.66269,0.87007,0.87402,0.88882,0.68587,0.90299,0.88189,0.8939,0.70176,0.89268,1.39319,0.6013,0.02036,0,0.0004753,0.0004753,0.0004753
55,6279.08,0.76794,1.0339,0.56028,0.01017,0.69075,0.86832,0.86614,0.89577,0.68955,0.87621,0.87402,0.91323,0.71207,0.87154,1.29897,0.60023,0.01991,0,0.0004654,0.0004654,0.0004654
56,6393.18,0.77999,1.02258,0.58477,0.01143,0.74317,0.86626,0.84252,0.87677,0.67119,0.86626,0.84252,0.88563,0.67703,0.93657,1.38807,0.72481,0.02148,0,0.0004555,0.0004555,0.0004555
57,6507.12,0.76919,0.99408,0.57082,0.01071,0.78665,0.90672,0.8189,0.90499,0.7124,0.91544,0.82677,0.91187,0.71459,0.84671,1.33058,0.63066,0.01924,0,0.0004456,0.0004456,0.0004456
58,6621.3,0.75056,0.99603,0.55036,0.01023,0.74185,0.87375,0.85827,0.88691,0.69577,0.90027,0.85299,0.89968,0.68662,0.86688,1.42039,0.63316,0.01958,0,0.0004357,0.0004357,0.0004357
59,6735.49,0.73473,0.97124,0.55263,0.01003,0.68083,0.90191,0.79641,0.87722,0.69625,0.91079,0.80391,0.8902,0.70875,0.86804,1.42507,0.67133,0.01928,0,0.0004258,0.0004258,0.0004258
60,6849.67,0.70963,0.96353,0.52578,0.00975,0.63417,0.88405,0.84048,0.90157,0.71916,0.89223,0.84751,0.91187,0.72669,0.80943,1.38162,0.58912,0.01797,0,0.0004159,0.0004159,0.0004159
61,6964.06,0.7216,0.96504,0.52086,0.00998,0.64001,0.94373,0.79235,0.89544,0.72066,0.94534,0.81705,0.9088,0.71534,0.82342,1.30023,0.62111,0.0183,0,0.000406,0.000406,0.000406
62,7078.26,0.70886,0.98401,0.54296,0.00986,0.71369,0.85662,0.86614,0.89042,0.70745,0.85662,0.86614,0.90145,0.70861,0.87992,1.25566,0.59358,0.01933,0,0.0003961,0.0003961,0.0003961
63,7192.46,0.71042,0.98693,0.51501,0.00976,0.66247,0.90864,0.86614,0.91743,0.70044,0.90864,0.86614,0.92033,0.70888,0.89893,1.37523,0.60792,0.02027,0,0.0003862,0.0003862,0.0003862
64,7306.57,0.71796,0.95745,0.51248,0.00948,0.62325,0.90394,0.85039,0.88691,0.70683,0.92326,0.85263,0.89757,0.70589,0.84409,1.2739,0.60889,0.01862,0,0.0003763,0.0003763,0.0003763
65,7420.89,0.71146,0.94674,0.49251,0.00994,0.62517,0.88947,0.82376,0.89701,0.70109,0.89789,0.83093,0.90449,0.70308,0.86739,1.33582,0.63892,0.01945,0,0.0003664,0.0003664,0.0003664
66,7534.98,0.72472,0.9617,0.50721,0.01013,0.61723,0.90763,0.81102,0.88778,0.70513,0.92071,0.82296,0.9042,0.69104,0.8079,1.35725,0.68231,0.01814,0,0.0003565,0.0003565,0.0003565
67,7649.08,0.68857,0.91008,0.48316,0.00924,0.60909,0.91763,0.85827,0.90627,0.71104,0.91763,0.85827,0.91212,0.71204,0.83674,1.34111,0.57921,0.01857,0,0.0003466,0.0003466,0.0003466
68,7763.22,0.67945,0.93053,0.48562,0.00933,0.6141,0.85566,0.88692,0.89804,0.69816,0.87086,0.90267,0.91043,0.70009,0.89867,1.35333,0.57927,0.01977,0,0.0003367,0.0003367,0.0003367
69,7877.33,0.69426,0.94239,0.48721,0.00956,0.62663,0.90788,0.81102,0.88642,0.69831,0.91795,0.8189,0.90052,0.70725,0.83644,1.36897,0.64002,0.01837,0,0.0003268,0.0003268,0.0003268
70,7991.52,0.67635,0.90532,0.47074,0.00912,0.58684,0.89409,0.88976,0.87962,0.68423,0.90224,0.89764,0.89671,0.69837,0.88653,1.4036,0.62546,0.01996,0,0.0003169,0.0003169,0.0003169
71,8105.65,0.67803,0.91172,0.45724,0.00875,0.52449,0.89559,0.87807,0.91043,0.72669,0.89559,0.87807,0.91364,0.72389,0.79876,1.45024,0.60648,0.01751,0,0.000307,0.000307,0.000307
72,8219.93,0.66699,0.90072,0.48638,0.00853,0.58462,0.90735,0.88189,0.90331,0.70819,0.9048,0.87402,0.90195,0.70738,0.80822,1.46977,0.62196,0.01785,0,0.0002971,0.0002971,0.0002971
73,8334.07,0.653,0.90458,0.45976,0.00899,0.62653,0.89947,0.84543,0.9022,0.69471,0.89947,0.84543,0.88614,0.69069,0.88802,1.39089,0.55512,0.0206,0,0.0002872,0.0002872,0.0002872
74,8448.19,0.66617,0.90129,0.48098,0.00894,0.59819,0.91076,0.88976,0.90774,0.70587,0.91076,0.88976,0.90535,0.71327,0.86473,1.45092,0.5649,0.0198,0,0.0002773,0.0002773,0.0002773
75,8562.24,0.67587,0.92965,0.51615,0.00904,0.62335,0.94087,0.82677,0.89694,0.69957,0.94983,0.83465,0.90119,0.70183,0.83479,1.4069,0.66846,0.01878,0,0.0002674,0.0002674,0.0002674
76,8676.23,0.66465,0.89724,0.4681,0.00876,0.58353,0.94104,0.8189,0.90609,0.70984,0.95009,0.82677,0.91009,0.70224,0.83403,1.50067,0.6674,0.01832,0,0.0002575,0.0002575,0.0002575
77,8790.27,0.67731,0.91764,0.47167,0.00914,0.54832,0.93002,0.83712,0.87975,0.70389,0.92922,0.83465,0.88141,0.69962,0.79911,1.35684,0.66009,0.01795,0,0.0002476,0.0002476,0.0002476
78,8904.27,0.63011,0.87219,0.44759,0.00848,0.57994,0.91836,0.83465,0.89717,0.72068,0.88193,0.88222,0.89723,0.71078,0.79945,1.38874,0.56856,0.01738,0,0.0002377,0.0002377,0.0002377
79,9018.27,0.62153,0.86558,0.45541,0.00818,0.5222,0.92065,0.8189,0.8972,0.73568,0.8778,0.90499,0.91263,0.73433,0.76814,1.38244,0.57933,0.01682,0,0.0002278,0.0002278,0.0002278
80,9132.52,0.62449,0.86418,0.45012,0.00837,0.494,0.88073,0.87219,0.90509,0.70898,0.88073,0.87219,0.90336,0.71188,0.84839,1.40363,0.61137,0.01939,0,0.0002179,0.0002179,0.0002179
81,9246.42,0.62988,0.86531,0.41653,0.00869,0.51738,0.89805,0.86614,0.88778,0.71947,0.89805,0.86614,0.89914,0.71643,0.78591,1.32464,0.62479,0.01733,0,0.000208,0.000208,0.000208
82,9360.48,0.63794,0.89693,0.42727,0.00847,0.52567,0.90903,0.88189,0.90705,0.72616,0.91714,0.88976,0.91935,0.7257,0.80624,1.35606,0.58406,0.01791,0,0.0001981,0.0001981,0.0001981
83,9474.68,0.61925,0.86348,0.41065,0.00852,0.46358,0.91624,0.86134,0.91811,0.73991,0.91624,0.86134,0.92502,0.73441,0.76699,1.36467,0.59058,0.0169,0,0.0001882,0.0001882,0.0001882
84,9588.99,0.62912,0.86792,0.41494,0.00829,0.51065,0.9166,0.86538,0.90377,0.72964,0.92494,0.87326,0.91426,0.72381,0.76915,1.35921,0.58954,0.01729,0,0.0001783,0.0001783,0.0001783
85,9703.15,0.64413,0.88845,0.45016,0.00872,0.47375,0.92601,0.86614,0.90635,0.73594,0.92601,0.86614,0.911,0.73953,0.76712,1.33154,0.64627,0.01684,0,0.0001684,0.0001684,0.0001684
86,9817.28,0.61373,0.85215,0.44318,0.00781,0.48784,0.90623,0.87402,0.89684,0.72623,0.91439,0.88189,0.90958,0.72756,0.77724,1.33294,0.62846,0.01725,0,0.0001585,0.0001585,0.0001585
