model,mask_map50_95_mean,mask_map50_95_std,mask_map50_95,mask_map50_mean,mask_map50_std,mask_map50,mask_precision_mean,mask_precision_std,mask_precision,mask_recall_mean,mask_recall_std,mask_recall,mask_f1_mean,mask_f1_std,mask_f1,best_mask_epoch_mean,best_mask_epoch_std,best_mask_epoch,max_mask_map50_95_mean,max_mask_map50_95_std,max_mask_map50_95,max_mask_map50_mean,max_mask_map50_std,max_mask_map50,mask_map50_95_last_mean,mask_map50_95_last_std,mask_map50_95_last,mask_map50_last_mean,mask_map50_last_std,mask_map50_last,val_seg_loss_mean,val_seg_loss_std,val_seg_loss,val_box_loss_mean,val_box_loss_std,val_box_loss,val_seg_loss_e100_mean,val_seg_loss_e100_std,val_seg_loss_e100,val_box_loss_e100_mean,val_box_loss_e100_std,val_box_loss_e100,val_cls_loss_e100_mean,val_cls_loss_e100_std,val_cls_loss_e100,train_seg_loss_e100_mean,train_seg_loss_e100_std,train_seg_loss_e100,box_map50_95_mean,box_map50_95_std,box_map50_95,box_map50_mean,box_map50_std,box_map50,box_precision_mean,box_precision_std,box_precision,box_recall_mean,box_recall_std,box_recall,box_f1_mean,box_f1_std,box_f1,best_fit_epoch_mean,best_fit_epoch_std,best_fit_epoch
Baseline YOLO26s-seg,0.72977,0.015,0.7298 ± 0.0150,0.91289,0.00704,0.9129 ± 0.0070,0.91652,0.01042,0.9165 ± 0.0104,0.88369,0.0087,0.8837 ± 0.0087,0.89974,0.00434,0.8997 ± 0.0043,87.16667,9.15241,87.2 ± 9.2,0.72977,0.015,0.7298 ± 0.0150,0.9297,0.00584,0.9297 ± 0.0058,0.71862,0.0186,0.7186 ± 0.0186,0.90655,0.01491,0.9066 ± 0.0149,1.4164,0.06708,1.4164 ± 0.0671,0.76088,0.01517,0.7609 ± 0.0152,1.44432,0.06151,1.4443 ± 0.0615,0.7583,0.01878,0.7583 ± 0.0188,0.5669,0.07502,0.5669 ± 0.0750,0.64781,0.01116,0.6478 ± 0.0112,0.7404,0.01116,0.7404 ± 0.0112,0.90994,0.00684,0.9099 ± 0.0068,0.91732,0.0137,0.9173 ± 0.0137,0.86637,0.02461,0.8664 ± 0.0246,0.89079,0.00817,0.8908 ± 0.0082,91.83333,8.6352,91.8 ± 8.6
C2TSVMamba (Proposed),0.72464,0.00495,0.7246 ± 0.0050,0.91344,0.00896,0.9134 ± 0.0090,0.91714,0.01889,0.9171 ± 0.0189,0.85452,0.02193,0.8545 ± 0.0219,0.88439,0.00839,0.8844 ± 0.0084,86.66667,10.07307,86.7 ± 10.1,0.72464,0.00495,0.7246 ± 0.0050,0.92591,0.00701,0.9259 ± 0.0070,0.71937,0.00647,0.7194 ± 0.0065,0.90514,0.01158,0.9051 ± 0.0116,1.38122,0.04705,1.3812 ± 0.0470,0.77593,0.03727,0.7759 ± 0.0373,1.42648,0.03051,1.4265 ± 0.0305,0.75094,0.01441,0.7509 ± 0.0144,0.58275,0.05696,0.5828 ± 0.0570,0.65168,0.00773,0.6517 ± 0.0077,0.73975,0.00869,0.7398 ± 0.0087,0.90557,0.00928,0.9056 ± 0.0093,0.90576,0.01838,0.9058 ± 0.0184,0.84288,0.02821,0.8429 ± 0.0282,0.87274,0.01111,0.8727 ± 0.0111,85.16667,13.16688,85.2 ± 13.2
